ProjectName,TeamName,MeasureName,SeriesName,TimePeriod,Team Active Status,Value1,Value2,AbbrevName,Volume,Type,Improvement Cohort,,,original in Extranet,abbrev,Pre work Volume,Type,Improvement Cohort
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,5/1/2014 0:00,TRUE,2,,Adventist,314,Community,Managing Across Cycle of Care,,,Montefiore Medical Center,Montefiore,973,Academic,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,6/1/2014 0:00,TRUE,2.2,,Adventist,314,Community,Managing Across Cycle of Care,,,Moses Taylor Hospital,Moses Taylor Hospital,201,Community,Early Mobilization and Pain Management 
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,7/1/2014 0:00,TRUE,2.3,,Adventist,314,Community,Managing Across Cycle of Care,,,Northside Hospital Forsyth ,Northside Hospital Forsyth,550,Community,No project charter
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,8/1/2014 0:00,TRUE,2.4,,Adventist,314,Community,Managing Across Cycle of Care,,,Northwestern Memorial Hospital,Northwestern,1367,Academic,No project charter
Joint Replacement Learning Community,Adventist Medical Center,Average LOS THA,Adventist Medical Center,9/1/2014 0:00,TRUE,2.3,,Adventist,314,Community,Managing Across Cycle of Care,,,Orlando Regional Medical Center,Orlando RMC,851,Other,Early Mobilization and Pain Management 
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,2.3,,Adventist,314,Community,Managing Across Cycle of Care,,,Palmetto Health,Palmetto Health,1335,Other,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,2.2,,Adventist,314,Community,Managing Across Cycle of Care,,,Providence Alaska Medical Center,Providence Alaska,550,Community,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,2.2,,Adventist,314,Community,Managing Across Cycle of Care,,,Providence Sacred Heart Medical Center,Providence Sacred Heart,1296,Academic,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,4/1/2014 0:00,TRUE,2.2,,Adventist,314,Community,Managing Across Cycle of Care,,,Regional Hospital of Scranton,Scranton,421,Community,No project charter
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,5/1/2014 0:00,TRUE,2.1,,Adventist,314,Community,Managing Across Cycle of Care,,,Sierra Medical Center,Sierra,562,Community,No project charter
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,6/1/2014 0:00,TRUE,2.1,,Adventist,314,Community,Managing Across Cycle of Care,,,Straub Clinic and Hospital ,Straub,329,Community,OR Processes
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,7/1/2014 0:00,TRUE,2.3,,Adventist,314,Community,Managing Across Cycle of Care,,,Test Team,Test Team,-999,Other,No project charter
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,8/1/2014 0:00,TRUE,1.9,,Adventist,314,Community,Managing Across Cycle of Care,,,UCSF,UCSF,516,Academic,No project charter
Joint Replacement Learning Community,Adventist Medical Center,Average LOS TKA,Adventist Medical Center,9/1/2014 0:00,TRUE,2.4,,Adventist,314,Community,Managing Across Cycle of Care,,,UMass Memorial Medical Center,U Mass MMC,872,Academic,Early Mobilization and Pain Management 
Joint Replacement Learning Community,Adventist Medical Center,"HCAHPS Percent ""Top Box"" Willingness to Recommend",Adventist Medical Center,1/1/2014 0:00,TRUE,61,,Adventist,314,Community,Managing Across Cycle of Care,,,UPMC,UPMC,1068,Academic,OR Processes
Joint Replacement Learning Community,Adventist Medical Center,"HCAHPS Percent ""Top Box"" Willingness to Recommend",Adventist Medical Center,4/1/2014 0:00,TRUE,89,,Adventist,314,Community,Managing Across Cycle of Care,,,Wake Forest Baptist Medical Center,Wake Forest,1006,Academic,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,"HCAHPS Percent ""Top Box"" Willingness to Recommend",Adventist Medical Center,7/1/2014 0:00,TRUE,98,,Adventist,314,Community,Managing Across Cycle of Care,,,Western Connecticut Health Network - Danbury Hospital ,WCHN Danbury,695,Community,Managing Across Cycle of Care
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,1/1/2014 0:00,TRUE,8,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,2/1/2014 0:00,TRUE,13,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,3/1/2014 0:00,TRUE,7,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,4/1/2014 0:00,TRUE,14,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,5/1/2014 0:00,TRUE,18,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,6/1/2014 0:00,TRUE,23,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,7/1/2014 0:00,TRUE,15,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,8/1/2014 0:00,TRUE,12,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with THA,Adventist Medical Center,9/1/2014 0:00,TRUE,16,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,24,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,29,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,25,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,4/1/2014 0:00,TRUE,44,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,5/1/2014 0:00,TRUE,28,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,6/1/2014 0:00,TRUE,32,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,7/1/2014 0:00,TRUE,21,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,8/1/2014 0:00,TRUE,27,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Number of Patients with TKA,Adventist Medical Center,9/1/2014 0:00,TRUE,22,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,1/1/2014 0:00,TRUE,88,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,2/1/2014 0:00,TRUE,69,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,3/1/2014 0:00,TRUE,71,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,4/1/2014 0:00,TRUE,93,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,5/1/2014 0:00,TRUE,83,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,6/1/2014 0:00,TRUE,70,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,7/1/2014 0:00,TRUE,93,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,8/1/2014 0:00,TRUE,83,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home THA,Adventist Medical Center,9/1/2014 0:00,TRUE,88,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,96,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,90,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,84,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,4/1/2014 0:00,TRUE,93,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,5/1/2014 0:00,TRUE,93,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,6/1/2014 0:00,TRUE,53,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,7/1/2014 0:00,TRUE,90,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,8/1/2014 0:00,TRUE,81,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged Home TKA,Adventist Medical Center,9/1/2014 0:00,TRUE,77,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,1/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,2/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,3/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,4/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,5/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,6/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,7/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,8/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient THA,Adventist Medical Center,9/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,4/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,5/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,6/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,7/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,8/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - inpatient TKA,Adventist Medical Center,9/1/2014 0:00,TRUE,0,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,1/1/2014 0:00,TRUE,12,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,2/1/2014 0:00,TRUE,31,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,3/1/2014 0:00,TRUE,29,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,4/1/2014 0:00,TRUE,7,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,5/1/2014 0:00,TRUE,17,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,6/1/2014 0:00,TRUE,13,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,7/1/2014 0:00,TRUE,7,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,8/1/2014 0:00,TRUE,17,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF THA,Adventist Medical Center,9/1/2014 0:00,TRUE,13,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,4,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,10,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,16,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,4/1/2014 0:00,TRUE,7,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,5/1/2014 0:00,TRUE,7,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,6/1/2014 0:00,TRUE,22,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,7/1/2014 0:00,TRUE,10,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,8/1/2014 0:00,TRUE,19,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Discharged to rehab - SNF TKA,Adventist Medical Center,9/1/2014 0:00,TRUE,23,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Pre-Surgery PRO Administration,Adventist Medical Center,1/1/2014 0:00,TRUE,0,106,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent Pre-Surgery PRO Administration,Adventist Medical Center,2/1/2014 0:00,TRUE,28,28,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,1/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,2/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,3/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,4/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,5/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,6/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,7/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,8/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour THA,Adventist Medical Center,9/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,1/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,2/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,3/1/2014 0:00,TRUE,96,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,4/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,5/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,6/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,7/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,8/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-1d Antibiotics given within 1 hour TKA,Adventist Medical Center,9/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-2d Appropriate Antibiotic THA,Adventist Medical Center,1/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-2d Appropriate Antibiotic THA,Adventist Medical Center,2/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
Joint Replacement Learning Community,Adventist Medical Center,Percent SCIP-Inf-2d Appropriate Antibiotic THA,Adventist Medical Center,3/1/2014 0:00,TRUE,100,,Adventist,314,Community,Managing Across Cycle of Care,,,,,,,
