ProjectName,TeamName,MeasureName,SeriesName,TimePeriod,Team Active Status,Value1,Value2
HMC Campaign - Best Care Always,Al Khor Hospital,GWO07 - Pressure ulcer count,Al Khor Hospital,1/1/2014 12:00:00 AM,False,3
HMC Campaign - Best Care Always,Al Khor Hospital,GWP02 - Percent compliance with the urinary catheter insertion bundle,Al Khor Hospital,12/1/2013 12:00:00 AM,False,13,23
HMC Campaign - Best Care Always,Al Khor Hospital,GWP02 - Percent compliance with the urinary catheter insertion bundle,Al Khor Hospital,1/1/2014 12:00:00 AM,False,25,26
HMC Campaign - Best Care Always,Al Khor Hospital,GWP06 - Percent achievement of multi-disciplinary rounds(MDRs),Al Khor Hospital,12/1/2013 12:00:00 AM,False,16,80
HMC Campaign - Best Care Always,Al Khor Hospital,GWP06 - Percent achievement of multi-disciplinary rounds(MDRs),Al Khor Hospital,1/1/2014 12:00:00 AM,False,7,25
HMC Campaign - Best Care Always,Al Khor Hospital,GWP07 - Percent achievement of multi-disciplinary rounds and daily goals (DG),Al Khor Hospital,12/1/2013 12:00:00 AM,False,16,16
HMC Campaign - Best Care Always,Al Khor Hospital,GWP07 - Percent achievement of multi-disciplinary rounds and daily goals (DG),Al Khor Hospital,1/1/2014 12:00:00 AM,False,7,7
HMC Campaign - Best Care Always,Al Khor Hospital,GWP09 - Percent of RN-doctor exchanges about patients with a change in condition that were based on an SBAR format,Al Khor Hospital,12/1/2013 12:00:00 AM,False,9,19
HMC Campaign - Best Care Always,Al Khor Hospital,GWP09 - Percent of RN-doctor exchanges about patients with a change in condition that were based on an SBAR format,Al Khor Hospital,1/1/2014 12:00:00 AM,False,15,15
HMC Campaign - Best Care Always,Al Khor Hospital,POO01 - Percent of surgical patients developing a Surgical Site Infection (SSI),Al Khor Hospital,10/1/2013 12:00:00 AM,False,="0",33
HMC Campaign - Best Care Always,Al Khor Hospital,POO01 - Percent of surgical patients developing a Surgical Site Infection (SSI),Al Khor Hospital,11/1/2013 12:00:00 AM,False,="0",20
HMC Campaign - Best Care Always,Al Khor Hospital,POO01 - Percent of surgical patients developing a Surgical Site Infection (SSI),Al Khor Hospital,12/1/2013 12:00:00 AM,False,="0",20
HMC Campaign - Best Care Always,Al Khor Hospital,POP01 - Percent on-time prophylactic antibiotics administration,Al Khor Hospital,10/1/2013 12:00:00 AM,False,72,72
HMC Campaign - Best Care Always,Al Khor Hospital,POP01 - Percent on-time prophylactic antibiotics administration,Al Khor Hospital,11/1/2013 12:00:00 AM,False,55,55
HMC Campaign - Best Care Always,Al Khor Hospital,POP01 - Percent on-time prophylactic antibiotics administration,Al Khor Hospital,12/1/2013 12:00:00 AM,False,69,69
HMC Campaign - Best Care Always,Al Khor Hospital,POP02 - Percent of inpatient surgical patients requiring hair removal for whom the hair at the operation site was removed with clippers (shaving is not recommended),Al Khor Hospital,1/1/2014 12:00:00 AM,False,22,22
HMC Campaign - Best Care Always,Al Khor Hospital,POP03 - Percent of known diabetic surgical patients with perioperative glucose control,Al Khor Hospital,1/1/2014 12:00:00 AM,False,9,11
HMC Campaign - Best Care Always,Al Khor Hospital,POP04 - Percent of eligible surgical patients with perioperative normothermia,Al Khor Hospital,1/1/2014 12:00:00 AM,False,205,205
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),1/1/2013 12:00:00 AM,True,1,40
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),2/1/2013 12:00:00 AM,True,1,50
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),3/1/2013 12:00:00 AM,True,1,48
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),4/1/2013 12:00:00 AM,True,1,52
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),5/1/2013 12:00:00 AM,True,="0",50
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),6/1/2013 12:00:00 AM,True,="0",49
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),7/1/2013 12:00:00 AM,True,="0",53
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),8/1/2013 12:00:00 AM,True,="0",38
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),9/1/2013 12:00:00 AM,True,="0",42
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),10/1/2013 12:00:00 AM,True,="0",48
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),11/1/2013 12:00:00 AM,True,="0",50
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),12/1/2013 12:00:00 AM,True,="0",40
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),1/1/2014 12:00:00 AM,True,="0",41
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),2/1/2014 12:00:00 AM,True,1,28
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCB01 - Percent of unplanned readmissions into the ICU within 48 hours post discharge from the ICU,AL Khor Intensive Care Unit (ICU),3/1/2014 12:00:00 AM,True,="0",36
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),1/1/2013 12:00:00 AM,True,="0",20
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),2/1/2013 12:00:00 AM,True,="0",40
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),3/1/2013 12:00:00 AM,True,="0",47
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),4/1/2013 12:00:00 AM,True,="0",56
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),5/1/2013 12:00:00 AM,True,="0",77
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),6/1/2013 12:00:00 AM,True,="0",41
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),7/1/2013 12:00:00 AM,True,="0",65
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),8/1/2013 12:00:00 AM,True,="0",70
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),9/1/2013 12:00:00 AM,True,="0",69
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),10/1/2013 12:00:00 AM,True,="0",63
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),11/1/2013 12:00:00 AM,True,="0",69
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),12/1/2013 12:00:00 AM,True,="0",72
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),1/1/2014 12:00:00 AM,True,="0",68
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),2/1/2014 12:00:00 AM,True,="0",69
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),3/1/2014 12:00:00 AM,True,="0",72
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),4/1/2014 12:00:00 AM,True,1,68
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),5/1/2014 12:00:00 AM,True,="0",70
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),6/1/2014 12:00:00 AM,True,="0",74
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),7/1/2014 12:00:00 AM,True,="0",19
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),8/1/2014 12:00:00 AM,True,="0",17
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),9/1/2014 12:00:00 AM,True,="0",25
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),10/1/2014 12:00:00 AM,True,="0",8
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO01 - VAP Rate,AL Khor Intensive Care Unit (ICU),11/1/2014 12:00:00 AM,True,="0",11
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO02 - Days Between a VAP,AL Khor Intensive Care Unit (ICU),7/20/2010 12:00:00 AM,True,6.34151808E+17
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO02 - Days Between a VAP,AL Khor Intensive Care Unit (ICU),10/1/2012 12:00:00 AM,True,6.34846464E+17
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO02 - Days Between a VAP,AL Khor Intensive Care Unit (ICU),4/3/2014 12:00:00 AM,True,6.353208E+17
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),1/1/2013 12:00:00 AM,True,="0",29
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),2/1/2013 12:00:00 AM,True,="0",38
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),3/1/2013 12:00:00 AM,True,="0",30
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),4/1/2013 12:00:00 AM,True,="0",71
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),5/1/2013 12:00:00 AM,True,="0",43
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),6/1/2013 12:00:00 AM,True,="0",46
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),7/1/2013 12:00:00 AM,True,="0",66
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),8/1/2013 12:00:00 AM,True,1,81
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),9/1/2013 12:00:00 AM,True,="0",50
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),10/1/2013 12:00:00 AM,True,="0",57
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),11/1/2013 12:00:00 AM,True,="0",100
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),12/1/2013 12:00:00 AM,True,="0",90
HMC Campaign - Best Care Always,Al Khor Hospital - Intensive Care Unit (ICU),CCO04 - Central Line Bloodstream Infection Rate (CLABSI),AL Khor Intensive Care Unit (ICU),1/1/2014 12:00:00 AM,True,="0",82
